fn,bbox
1357.tif,"[[195, 147, 227, 179], [185, 200, 217, 232], [50, 33, 82, 65], [108, 97, 140, 129], [22, 106, 54, 138], [13, 155, 45, 187], [71, 153, 103, 185]]"
1358.tif,"[[203, 196, 235, 228], [155, 39, 187, 71], [70, 49, 102, 81], [61, 98, 93, 130], [119, 96, 151, 128], [100, 174, 132, 206], [42, 186, 74, 218]]"
1359.tif,"[[15, 16, 47, 48], [182, 63, 214, 95], [173, 112, 205, 144], [154, 200, 186, 232], [63, 117, 95, 149], [-7, 117, 25, 149], [8, 175, 40, 207], [91, 54, 123, 86]]"
1360.tif,"[[118, 5, 150, 37], [176, 69, 208, 101], [90, 79, 122, 111], [81, 128, 113, 160], [139, 126, 171, 158], [120, 203, 152, 235], [0, 69, 32, 101]]"
1361.tif,"[[169, 34, 201, 66], [140, 87, 172, 119], [121, 167, 153, 199], [-3, -11, 29, 21], [55, -13, 87, 19], [36, 65, 68, 97]]"
1362.tif,"[[186, -3, 218, 29], [100, 7, 132, 39], [91, 56, 123, 88], [149, 54, 181, 86], [130, 132, 162, 164], [72, 144, 104, 176], [60, 205, 92, 237], [9, -2, 41, 30]]"
1363.tif,"[[132, 11, 164, 43], [35, -2, 67, 30], [179, 112, 211, 144], [110, 112, 142, 144], [124, 170, 156, 202], [208, 49, 240, 81], [14, 175, 46, 207], [6, 204, 38, 236]]"
1364.tif,"[[191, 49, 223, 81], [121, 49, 153, 81], [136, 107, 168, 139], [161, 208, 193, 240], [87, 184, 119, 216], [26, 112, 58, 144], [17, 141, 49, 173]]"
1365.tif,"[[151, 39, 183, 71], [166, 97, 198, 129], [191, 197, 223, 229], [117, 173, 149, 205], [56, 101, 88, 133], [47, 130, 79, 162]]"
1366.tif,"[[171, 16, 203, 48], [113, 28, 145, 60], [101, 90, 133, 122], [87, 141, 119, 173], [-8, 104, 24, 136], [-14, 157, 18, 189]]"
1367.tif,"[[156, 29, 188, 61], [10, 4, 42, 36], [144, 90, 176, 122], [130, 141, 162, 173], [35, 104, 67, 136], [29, 157, 61, 189]]"
1368.tif,"[[120, -2, 152, 30], [50, -2, 82, 30], [65, 56, 97, 88], [199, 143, 231, 175], [185, 194, 217, 226], [90, 157, 122, 189], [1, 185, 33, 217], [16, 133, 48, 165]]"
1369.tif,"[[205, -2, 237, 30], [191, 49, 223, 81], [96, 12, 128, 44], [90, 65, 122, 97], [176, 118, 208, 150], [7, 40, 39, 72], [22, -12, 54, 20]]"
1370.tif,"[[71, -15, 103, 17], [157, 38, 189, 70]]"
1371.tif,"[[132, -5, 164, 27], [126, 48, 158, 80], [43, 23, 75, 55], [3, 200, 35, 232]]"
1372.tif,"[[182, 16, 214, 48], [113, 16, 145, 48], [127, 73, 159, 105], [152, 174, 184, 206], [64, 202, 96, 234], [79, 150, 111, 182], [-1, 208, 31, 240], [17, 78, 49, 110], [9, 107, 41, 139]]"
1373.tif,"[[132, -4, 164, 28], [190, 60, 222, 92], [104, 70, 136, 102], [95, 119, 127, 151], [153, 117, 185, 149], [134, 195, 166, 227], [76, 207, 108, 239], [-15, 124, 17, 156], [14, 61, 46, 93]]"
1374.tif,"[[110, 148, 142, 180], [80, 27, 112, 59], [57, 108, 89, 140]]"
1375.tif,"[[155, 35, 187, 67], [90, 41, 122, 73], [84, 91, 116, 123], [62, 172, 94, 204]]"
1376.tif,"[[136, 67, 168, 99], [151, 15, 183, 47], [71, 72, 103, 104], [65, 123, 97, 155], [43, 204, 75, 236]]"
1377.tif,"[[185, 108, 217, 140], [155, -13, 187, 19], [132, 67, 164, 99], [54, 16, 86, 48]]"
1378.tif,"[[160, 114, 192, 146], [130, -6, 162, 26], [107, 74, 139, 106], [29, 23, 61, 55]]"
1379.tif,"[[203, 89, 235, 121], [198, 140, 230, 172], [97, 169, 129, 201], [97, 72, 129, 104], [62, 32, 94, 64], [38, 117, 70, 149]]"
1380.tif,"[[153, 181, 185, 213], [119, 141, 151, 173], [198, 59, 230, 91], [121, -2, 153, 30], [126, 88, 158, 120], [3, 113, 35, 145], [-8, 178, 24, 210]]"
1381.tif,"[[194, 20, 226, 52], [189, 71, 221, 103], [167, 151, 199, 183], [89, 100, 121, 132], [88, 2, 120, 34], [29, 47, 61, 79]]"
1382.tif,"[[169, 96, 201, 128], [168, -1, 200, 31], [110, 44, 142, 76], [65, 170, 97, 202], [7, -4, 39, 28]]"
1383.tif,"[[198, -11, 230, 21], [173, 47, 205, 79]]"
1384.tif,"[[145, 155, 177, 187], [140, 205, 172, 237], [38, 137, 70, 169], [4, 98, 36, 130], [164, 25, 196, 57], [155, 54, 187, 86], [83, 16, 115, 48], [11, 45, 43, 77]]"
1385.tif,"[[183, 49, 215, 81], [113, 49, 145, 81], [128, 107, 160, 139], [153, 208, 185, 240], [79, 184, 111, 216], [18, 112, 50, 144], [9, 141, 41, 173]]"
1386.tif,"[[198, 167, 230, 199], [11, 207, 43, 239], [137, 94, 169, 126], [128, 124, 160, 156], [56, 85, 88, 117], [25, 7, 57, 39]]"
1387.tif,"[[125, 51, 157, 83], [101, 132, 133, 164], [99, 179, 131, 211], [53, 196, 85, 228], [20, 72, 52, 104]]"
1388.tif,"[[175, 186, 207, 218], [177, 43, 209, 75], [182, 134, 214, 166], [33, 117, 65, 149], [-11, 116, 21, 148], [58, 159, 90, 191]]"
1389.tif,"[[181, 182, 213, 214], [75, 164, 107, 196], [40, 125, 72, 157], [200, 52, 232, 84], [191, 81, 223, 113], [120, 43, 152, 75], [47, 72, 79, 104]]"
1390.tif,"[[206, -15, 238, 17], [166, 53, 198, 85], [142, 134, 174, 166], [140, 181, 172, 213], [94, 198, 126, 230], [61, 74, 93, 106]]"
1391.tif,"[[117, 159, 149, 191], [48, 17, 80, 49], [129, 28, 161, 60], [122, -12, 154, 20]]"
1392.tif,"[[175, 112, 207, 144], [180, 203, 212, 235], [142, -12, 174, 20], [30, 40, 62, 72], [32, 186, 64, 218], [-13, 185, 19, 217]]"
1393.tif,"[[164, 97, 196, 129], [130, 132, 162, 164], [116, 204, 148, 236], [44, 145, 76, 177], [-9, 150, 23, 182], [36, 187, 68, 219], [1, 89, 33, 121], [17, 30, 49, 62], [98, 31, 130, 63]]"
1394.tif,"[[175, 154, 207, 186], [177, 10, 209, 42], [182, 101, 214, 133], [33, 84, 65, 116], [-11, 83, 21, 115], [58, 126, 90, 158], [48, 190, 80, 222]]"
1395.tif,"[[157, 25, 189, 57], [50, 25, 82, 57], [43, 100, 75, 132], [6, 193, 38, 225]]"
1396.tif,"[[135, 21, 167, 53], [125, 85, 157, 117], [32, 14, 64, 46], [18, 85, 50, 117], [11, 160, 43, 192]]"
1397.tif,"[[134, 12, 166, 44], [123, 76, 155, 108], [30, 5, 62, 37], [16, 76, 48, 108], [9, 152, 41, 184]]"
1398.tif,"[[192, -10, 224, 22], [182, 55, 214, 87], [74, 55, 106, 87], [67, 130, 99, 162], [3, -4, 35, 28], [-5, 38, 27, 70]]"
1399.tif,"[[183, 74, 215, 106], [138, 73, 170, 105], [208, 116, 240, 148], [197, 180, 229, 212], [104, 109, 136, 141], [90, 180, 122, 212], [18, 121, 50, 153], [10, 163, 42, 195], [-9, 6, 23, 38], [72, 7, 104, 39]]"
1400.tif,"[[196, 83, 228, 115], [162, 119, 194, 151], [148, 190, 180, 222], [76, 131, 108, 163], [23, 137, 55, 169], [68, 173, 100, 205], [33, 75, 65, 107], [49, 16, 81, 48], [130, 17, 162, 49]]"
1401.tif,"[[176, 17, 208, 49], [123, 22, 155, 54], [168, 58, 200, 90], [55, -3, 87, 29], [71, 98, 103, 130], [135, 157, 167, 189], [59, 147, 91, 179]]"
1402.tif,"[[142, 123, 174, 155], [88, 129, 120, 161], [134, 165, 166, 197], [20, 103, 52, 135], [36, 205, 68, 237], [98, 67, 130, 99], [32, 27, 64, 59], [115, 8, 147, 40], [195, 9, 227, 41]]"
1403.tif,"[[173, -9, 205, 23], [121, 67, 153, 99], [186, 126, 218, 158], [109, 116, 141, 148], [178, 192, 210, 224], [89, 178, 121, 210]]"
1404.tif,"[[171, 24, 203, 56], [104, -1, 136, 31], [119, 101, 151, 133], [184, 159, 216, 191], [108, 149, 140, 181], [2, -4, 34, 28]]"
1405.tif,"[[171, 57, 203, 89], [159, 105, 191, 137], [139, 167, 171, 199]]"
1406.tif,"[[161, 37, 193, 69], [154, 112, 186, 144], [81, 20, 113, 52], [48, 118, 80, 150], [41, 184, 73, 216], [117, 205, 149, 237]]"
1407.tif,"[[163, 35, 195, 67], [57, 41, 89, 73], [49, 106, 81, 138], [126, 128, 158, 160]]"
1408.tif,"[[148, 3, 180, 35], [128, 65, 160, 97], [-10, 201, 22, 233]]"
1409.tif,"[[185, 74, 217, 106], [131, 79, 163, 111], [177, 116, 209, 148], [63, 54, 95, 86], [79, 156, 111, 188], [67, 204, 99, 236], [141, 18, 173, 50]]"
1410.tif,"[[175, 136, 207, 168], [107, 110, 139, 142], [185, 74, 217, 106], [119, 34, 151, 66], [202, 15, 234, 47], [6, 107, 38, 139]]"
1411.tif,"[[184, 204, 216, 236], [116, 178, 148, 210], [194, 143, 226, 175], [127, 102, 159, 134], [76, 43, 108, 75], [141, 36, 173, 68], [15, 175, 47, 207]]"
1412.tif,"[[114, 179, 146, 211], [63, 119, 95, 151], [128, 112, 160, 144], [197, 160, 229, 192], [119, 44, 151, 76], [91, -7, 123, 25]]"
1413.tif,"[[199, 37, 231, 69], [201, 182, 233, 214], [156, 181, 188, 213], [-7, 174, 25, 206], [9, 114, 41, 146], [24, 40, 56, 72], [35, -10, 67, 22], [90, 115, 122, 147]]"
1414.tif,"[[6, 202, 38, 234], [70, 195, 102, 227], [155, 168, 187, 200], [61, 127, 93, 159], [165, 118, 197, 150], [33, 76, 65, 108], [87, 63, 119, 95], [64, -13, 96, 19], [0, 7, 32, 39]]"
1415.tif,"[[123, 184, 155, 216], [29, 144, 61, 176], [133, 134, 165, 166], [1, 93, 33, 125], [55, 79, 87, 111], [32, 4, 64, 36], [135, -9, 167, 23]]"
1416.tif,"[[183, 87, 215, 119], [-7, 165, 25, 197], [8, 91, 40, 123], [18, 41, 50, 73], [73, 166, 105, 198]]"
1417.tif,"[[174, 160, 206, 192], [140, 196, 172, 228], [10, 153, 42, 185], [27, 93, 59, 125], [42, 19, 74, 51], [108, 94, 140, 126]]"
1418.tif,"[[42, 204, 74, 236], [107, 197, 139, 229], [191, 170, 223, 202], [98, 129, 130, 161], [201, 120, 233, 152], [70, 79, 102, 111], [123, 65, 155, 97], [100, -10, 132, 22], [36, 9, 68, 41]]"
1419.tif,"[[95, 208, 127, 240], [180, 181, 212, 213], [86, 140, 118, 172], [190, 131, 222, 163], [59, 90, 91, 122], [112, 76, 144, 108], [89, 0, 121, 32], [192, -12, 224, 20], [25, 20, 57, 52]]"
1420.tif,"[[18, 135, 50, 167], [121, 122, 153, 154], [149, 52, 181, 84], [14, 39, 46, 71]]"
1421.tif,"[[-7, 169, 25, 201], [97, 159, 129, 191], [19, 105, 51, 137], [-5, 29, 27, 61], [99, 16, 131, 48], [193, 64, 225, 96]]"
1422.tif,"[[207, 207, 239, 239], [27, 117, 59, 149], [26, 29, 58, 61], [108, 127, 140, 159], [101, 87, 133, 119], [112, 1, 144, 33]]"
1423.tif,"[[31, 135, 63, 167], [29, 47, 61, 79], [112, 146, 144, 178], [105, 106, 137, 138], [116, 20, 148, 52]]"
1424.tif,"[[33, 156, 65, 188], [136, 143, 168, 175], [164, 74, 196, 106], [29, 60, 61, 92]]"
1425.tif,"[[94, 143, 126, 175], [197, 130, 229, 162], [90, 47, 122, 79], [30, 162, 62, 194], [16, 75, 48, 107]]"
1426.tif,"[[173, 41, 205, 73]]"
1427.tif,"[[23, 48, 55, 80], [141, 74, 173, 106]]"
1428.tif,"[[171, 197, 203, 229], [199, 72, 231, 104], [65, 182, 97, 214], [73, 132, 105, 164], [165, 2, 197, 34], [100, 34, 132, 66]]"
1429.tif,"[[101, 164, 133, 196], [194, 34, 226, 66], [128, 66, 160, 98]]"
1430.tif,"[[182, 126, 214, 158], [168, 38, 200, 70], [112, 62, 144, 94], [116, 158, 148, 190], [87, 5, 119, 37]]"
1431.tif,"[[125, 156, 157, 188], [121, 60, 153, 92], [61, 175, 93, 207], [47, 88, 79, 120], [-9, 111, 23, 143], [-5, 207, 27, 239]]"
1432.tif,"[[177, 63, 209, 95], [181, 159, 213, 191], [152, 6, 184, 38], [36, 165, 68, 197], [27, 125, 59, 157]]"
1433.tif,"[[174, 150, 206, 182], [160, 62, 192, 94], [104, 86, 136, 118], [108, 182, 140, 214], [79, 29, 111, 61]]"
1434.tif,"[[182, 132, 214, 164], [126, 156, 158, 188], [101, 99, 133, 131], [102, 31, 134, 63]]"
1435.tif,"[[91, 198, 123, 230], [92, 130, 124, 162], [144, 17, 176, 49], [203, 49, 235, 81]]"
1436.tif,"[[7, 146, 39, 178], [79, 108, 111, 140], [152, 114, 184, 146], [147, 173, 179, 205], [66, 178, 98, 210], [171, 71, 203, 103], [-7, 70, 25, 102]]"
1437.tif,"[[20, 182, 52, 214], [72, 69, 104, 101], [144, 32, 176, 64], [131, 101, 163, 133], [157, 177, 189, 209], [184, 174, 216, 206], [57, -6, 89, 26]]"
1438.tif,"[[19, 162, 51, 194], [92, 168, 124, 200], [175, 35, 207, 67], [111, 125, 143, 157], [179, 91, 211, 123], [38, -14, 70, 18]]"
1439.tif,"[[13, 47, 45, 79], [86, 53, 118, 85], [81, 112, 113, 144], [0, 117, 32, 149], [26, 193, 58, 225], [54, 190, 86, 222], [105, 10, 137, 42]]"
1440.tif,"[[33, 44, 65, 76], [105, 6, 137, 38], [178, 12, 210, 44], [173, 71, 205, 103], [92, 76, 124, 108], [118, 152, 150, 184], [146, 149, 178, 181]]"
1441.tif,"[[118, 199, 150, 231], [16, 13, 48, 45], [156, 40, 188, 72], [75, 45, 107, 77], [101, 121, 133, 153], [129, 118, 161, 150]]"
1442.tif,"[[83, 202, 115, 234], [121, 43, 153, 75], [40, 48, 72, 80], [66, 124, 98, 156], [94, 121, 126, 153]]"
1443.tif,"[[199, 166, 231, 198], [206, 17, 238, 49], [145, 48, 177, 80], [92, 148, 124, 180], [71, 42, 103, 74]]"
1444.tif,"[[189, 160, 221, 192], [114, 155, 146, 187], [129, 68, 161, 100], [2, 163, 34, 195], [13, 69, 45, 101]]"
1445.tif,"[[207, 120, 239, 152], [147, 151, 179, 183], [73, 145, 105, 177], [88, 58, 120, 90]]"
1446.tif,"[[187, 140, 219, 172], [75, 192, 107, 224], [6, 50, 38, 82], [88, 61, 120, 93], [81, 21, 113, 53]]"
1447.tif,"[[6, 134, 38, 166], [101, 182, 133, 214], [99, 94, 131, 126], [34, 64, 66, 96], [182, 192, 214, 224], [175, 153, 207, 185], [186, 67, 218, 99]]"
1448.tif,"[[5, 162, 37, 194], [3, 75, 35, 107], [203, 39, 235, 71], [86, 173, 118, 205], [79, 133, 111, 165], [90, 47, 122, 79]]"
1449.tif,"[[56, 170, 88, 202], [122, 164, 154, 196], [40, 64, 72, 96], [31, 2, 63, 34], [195, 3, 227, 35]]"
1450.tif,"[[8, 153, 40, 185], [207, 117, 239, 149], [94, 125, 126, 157], [40, 38, 72, 70], [105, 32, 137, 64]]"
1451.tif,"[[32, 161, 64, 193], [98, 155, 130, 187], [16, 54, 48, 86], [7, -8, 39, 24], [171, -7, 203, 25]]"
1452.tif,"[[83, 165, 115, 197], [74, 103, 106, 135], [106, 15, 138, 47], [-7, -8, 25, 24], [-3, 48, 29, 80]]"
1453.tif,"[[9, 88, 41, 120], [185, 204, 217, 236], [189, 137, 221, 169], [141, 176, 173, 208], [121, 23, 153, 55]]"
1454.tif,"[[177, 207, 209, 239], [60, 208, 92, 240], [177, 74, 209, 106], [181, 7, 213, 39], [133, 46, 165, 78]]"
1455.tif,"[[160, 184, 192, 216], [5, 106, 37, 138], [85, 119, 117, 151], [114, 93, 146, 125], [9, 39, 41, 71]]"
1456.tif,"[[77, 132, 109, 164], [157, 145, 189, 177], [186, 119, 218, 151], [81, 65, 113, 97], [33, 104, 65, 136]]"
1457.tif,"[[63, 182, 95, 214], [-5, 67, 27, 99]]"
1458.tif,"[[152, 174, 184, 206], [156, 107, 188, 139], [108, 146, 140, 178], [88, -8, 120, 24]]"
1459.tif,"[[180, 158, 212, 190], [67, 135, 99, 167], [74, 82, 106, 114], [131, 35, 163, 67], [62, 23, 94, 55], [71, 190, 103, 222]]"
1460.tif,"[[110, 161, 142, 193], [167, 115, 199, 147], [98, 103, 130, 135], [34, 54, 66, 86], [6, 162, 38, 194], [-6, 112, 26, 144]]"
1461.tif,"[[27, 186, 59, 218], [150, 46, 182, 78]]"
1462.tif,"[[184, 85, 216, 117]]"
1463.tif,"[[61, 175, 93, 207]]"
1464.tif,"[[159, 112, 191, 144], [159, 44, 191, 76], [150, -9, 182, 23], [-15, 189, 17, 221]]"
1465.tif,"[[168, 184, 200, 216], [159, 131, 191, 163], [163, 62, 195, 94]]"
1466.tif,"[[144, 172, 176, 204], [135, 119, 167, 151], [139, 50, 171, 82]]"
1467.tif,"[[97, 153, 129, 185], [88, 100, 120, 132], [92, 32, 124, 64]]"
1468.tif,"[[139, 175, 171, 207], [35, 36, 67, 68], [105, 10, 137, 42]]"
1469.tif,"[[208, 176, 240, 208], [208, 108, 240, 140], [199, 55, 231, 87], [203, -14, 235, 18], [20, 112, 52, 144]]"
1470.tif,"[[53, 195, 85, 227], [206, 2, 238, 34], [110, 148, 142, 180], [41, 136, 73, 168], [10, -12, 42, 20]]"
1471.tif,"[[30, 208, 62, 240], [37, 155, 69, 187], [94, 108, 126, 140], [25, 97, 57, 129], [203, 103, 235, 135]]"
1472.tif,"[[153, 137, 185, 169], [42, 80, 74, 112], [88, 156, 120, 188], [87, 28, 119, 60]]"
1473.tif,"[[122, 122, 154, 154], [11, 65, 43, 97], [57, 141, 89, 173], [57, 13, 89, 45]]"
1474.tif,"[[11, 7, 43, 39], [44, 127, 76, 159], [28, 57, 60, 89], [193, 4, 225, 36]]"
1475.tif,"[[186, 20, 218, 52], [107, 133, 139, 165], [-3, 71, 29, 103], [24, 106, 56, 138], [11, 194, 43, 226], [111, 28, 143, 60], [167, -14, 199, 18]]"
1476.tif,"[[132, 101, 164, 133], [150, 182, 182, 214], [200, 57, 232, 89], [184, -13, 216, 19], [100, 155, 132, 187], [46, -1, 78, 31], [19, 80, 51, 112]]"
1477.tif,"[[101, 47, 133, 79], [119, 128, 151, 160], [169, 3, 201, 35], [68, 101, 100, 133], [-12, 26, 20, 58]]"
1478.tif,"[[29, 109, 61, 141], [47, 190, 79, 222], [97, 65, 129, 97], [81, -5, 113, 27], [-4, 163, 28, 195]]"
1479.tif,"[[144, -5, 176, 27], [8, 73, 40, 105], [41, 193, 73, 225], [25, 123, 57, 155], [189, 70, 221, 102]]"
1480.tif,"[[102, 206, 134, 238], [71, 58, 103, 90], [38, 157, 70, 189], [21, 31, 53, 63]]"
1481.tif,"[[96, 149, 128, 181], [-14, 93, 18, 125], [32, 168, 64, 200], [31, 41, 63, 73], [62, -3, 94, 29], [185, 58, 217, 90]]"
1482.tif,"[[18, 155, 50, 187], [198, 205, 230, 237], [130, 90, 162, 122], [79, 27, 111, 59]]"
1483.tif,"[[3, 50, 35, 82], [-2, 109, 30, 141], [192, 196, 224, 228], [176, 89, 208, 121], [167, 28, 199, 60], [23, 7, 55, 39]]"
1484.tif,"[[-8, 109, 24, 141], [-13, 168, 19, 200], [165, 148, 197, 180], [156, 86, 188, 118], [188, -1, 220, 31], [11, 66, 43, 98], [79, 32, 111, 64]]"
1485.tif,"[[169, 38, 201, 70], [141, 146, 173, 178], [101, 150, 133, 182], [129, 96, 161, 128], [89, 72, 121, 104], [-9, 142, 23, 174], [43, 41, 75, 73]]"
1486.tif,"[[126, 84, 158, 116], [85, 88, 117, 120], [113, 34, 145, 66], [74, 10, 106, 42]]"
1487.tif,"[[189, 152, 221, 184], [158, 4, 190, 36], [125, 103, 157, 135], [85, 161, 117, 193], [46, 137, 78, 169], [0, 107, 32, 139]]"
1488.tif,"[[182, 114, 214, 146], [142, 118, 174, 150], [170, 65, 202, 97], [130, 41, 162, 73], [32, 111, 64, 143], [84, 10, 116, 42]]"
1489.tif,"[[161, 161, 193, 193], [90, 105, 122, 137]]"
1490.tif,"[[113, 181, 145, 213], [185, 143, 217, 175], [99, 105, 131, 137], [78, 61, 110, 93], [41, 63, 73, 95]]"
1491.tif,"[[139, 7, 171, 39], [144, 153, 176, 185], [123, 108, 155, 140], [86, 110, 118, 142]]"
1492.tif,"[[183, 172, 215, 204], [143, 176, 175, 208], [171, 122, 203, 154], [131, 98, 163, 130], [33, 168, 65, 200], [85, 67, 117, 99]]"
1493.tif,"[[182, 7, 214, 39], [201, 167, 233, 199], [7, 65, 39, 97]]"
1494.tif,"[[153, 193, 185, 225], [171, 17, 203, 49], [62, 9, 94, 41], [67, 155, 99, 187], [46, 110, 78, 142], [9, 112, 41, 144]]"
1495.tif,"[[194, -13, 226, 19], [179, 166, 211, 198], [100, 201, 132, 233], [54, 170, 86, 202], [161, 41, 193, 73], [37, 8, 69, 40]]"
1496.tif,"[[166, -1, 198, 31], [132, 163, 164, 195], [199, 119, 231, 151], [183, 49, 215, 81], [45, 61, 77, 93], [19, 141, 51, 173]]"
1497.tif,"[[175, 118, 207, 150], [65, 56, 97, 88], [92, 92, 124, 124], [50, 122, 82, 154], [79, 179, 111, 211], [148, 199, 180, 231], [40, -7, 72, 25], [179, 13, 211, 45]]"
1498.tif,"[[173, 114, 205, 146], [63, 52, 95, 84], [90, 88, 122, 120], [48, 117, 80, 149], [77, 175, 109, 207], [146, 195, 178, 227], [37, -11, 69, 21], [177, 9, 209, 41]]"
1499.tif,"[[203, 164, 235, 196], [150, 8, 182, 40], [25, 11, 57, 43], [54, 69, 86, 101], [123, 89, 155, 121], [79, 131, 111, 163]]"
1500.tif,"[[106, 7, 138, 39], [135, 65, 167, 97], [204, 85, 236, 117], [160, 127, 192, 159], [60, 155, 92, 187], [3, 169, 35, 201], [1, 23, 33, 55]]"
1501.tif,"[[186, 113, 218, 145], [36, 19, 68, 51], [105, 38, 137, 70], [61, 80, 93, 112]]"
1502.tif,"[[208, 21, 240, 53], [125, -6, 157, 26], [83, 24, 115, 56], [112, 82, 144, 114], [181, 102, 213, 134], [137, 144, 169, 176], [38, 172, 70, 204]]"
1503.tif,"[[97, 40, 129, 72], [166, 59, 198, 91], [122, 101, 154, 133], [23, 130, 55, 162]]"
1504.tif,"[[196, 185, 228, 217], [179, 23, 211, 55], [80, 52, 112, 84], [23, 65, 55, 97], [-3, 10, 29, 42]]"
1505.tif,"[[186, 114, 218, 146], [162, 205, 194, 237], [133, 145, 165, 177], [58, 114, 90, 146], [140, 48, 172, 80], [37, 34, 69, 66], [73, 4, 105, 36]]"
1506.tif,"[[205, 51, 237, 83], [159, 199, 191, 231], [100, 67, 132, 99], [76, 157, 108, 189], [47, 97, 79, 129], [54, 0, 86, 32], [124, -15, 156, 17]]"
1507.tif,"[[152, 124, 184, 156], [99, 155, 131, 187], [24, 124, 56, 156], [106, 57, 138, 89], [176, 42, 208, 74], [3, 44, 35, 76], [39, 14, 71, 46]]"
1508.tif,"[[182, 152, 214, 184], [108, 121, 140, 153], [189, 55, 221, 87], [87, 41, 119, 73], [122, 11, 154, 43], [11, 13, 43, 45]]"
1509.tif,"[[199, 80, 231, 112], [175, 171, 207, 203], [146, 111, 178, 143], [71, 80, 103, 112], [153, 14, 185, 46], [50, 0, 82, 32], [-8, 177, 24, 209]]"
1510.tif,"[[98, 167, 130, 199], [168, 153, 200, 185], [-4, 154, 28, 186], [31, 124, 63, 156], [-9, 61, 23, 93], [75, 32, 107, 64], [122, 82, 154, 114], [143, 13, 175, 45], [201, 41, 233, 73]]"
1511.tif,"[[203, 103, 235, 135], [179, 193, 211, 225], [149, 133, 181, 165], [75, 102, 107, 134], [156, 36, 188, 68], [54, 23, 86, 55], [89, -8, 121, 24], [-4, 199, 28, 231]]"
1512.tif,"[[185, 140, 217, 172], [132, 171, 164, 203], [57, 140, 89, 172], [139, 73, 171, 105], [36, 60, 68, 92], [72, 29, 104, 61], [163, -13, 195, 19]]"
1513.tif,"[[146, 194, 178, 226], [43, 181, 75, 213], [79, 150, 111, 182], [38, 88, 70, 120], [83, 5, 115, 37], [123, 59, 155, 91], [169, 108, 201, 140], [191, 40, 223, 72]]"
1514.tif,"[[126, 199, 158, 231], [170, 117, 202, 149], [128, 70, 160, 102], [5, 201, 37, 233], [166, -13, 198, 19], [124, -13, 156, 19], [103, 3, 135, 35], [34, 129, 66, 161], [10, 96, 42, 128]]"
1515.tif,"[[169, 199, 201, 231], [-4, 200, 28, 232], [32, 170, 64, 202], [-8, 107, 24, 139], [36, 25, 68, 57], [76, 79, 108, 111], [123, 128, 155, 160], [144, 59, 176, 91], [202, 88, 234, 120], [102, -6, 134, 26]]"
1516.tif,"[[79, 202, 111, 234], [150, 188, 182, 220], [12, 159, 44, 191], [17, 13, 49, 45], [57, 67, 89, 99], [103, 117, 135, 149], [125, 48, 157, 80], [183, 76, 215, 108], [198, 3, 230, 35]]"
1517.tif,"[[206, 196, 238, 228], [110, 196, 142, 228], [17, 76, 49, 108], [64, 125, 96, 157], [85, 56, 117, 88], [143, 85, 175, 117], [159, 11, 191, 43], [180, 134, 212, 166], [43, -9, 75, 23]]"
1518.tif,"[[5, 146, 37, 178], [63, 175, 95, 207], [78, 102, 110, 134], [28, 48, 60, 80], [161, 18, 193, 50], [196, 66, 228, 98], [177, 200, 209, 232]]"
1519.tif,"[[38, 146, 70, 178], [-12, 92, 20, 124], [89, 21, 121, 53], [121, 62, 153, 94], [156, 110, 188, 142], [199, 171, 231, 203]]"
1520.tif,"[[140, 121, 172, 153], [167, 157, 199, 189], [125, 187, 157, 219], [21, 203, 53, 235], [45, 121, 77, 153], [-2, 50, 30, 82], [77, 10, 109, 42], [114, 58, 146, 90], [191, 34, 223, 66]]"
1521.tif,"[[-14, 120, 18, 152], [32, 170, 64, 202], [54, 101, 86, 133], [112, 129, 144, 161], [127, 56, 159, 88], [149, 178, 181, 210], [11, 36, 43, 68], [77, 3, 109, 35]]"
1522.tif,"[[44, 146, 76, 178], [102, 174, 134, 206], [118, 101, 150, 133], [2, 81, 34, 113], [67, 47, 99, 79], [200, 17, 232, 49]]"
1523.tif,"[[99, 170, 131, 202], [144, 87, 176, 119], [184, 141, 216, 173], [101, 41, 133, 73], [7, 100, 39, 132]]"
1524.tif,"[[159, 170, 191, 202], [6, 135, 38, 167], [1, -7, 33, 25], [92, 83, 124, 115], [173, 58, 205, 90]]"
1525.tif,"[[23, -13, 55, 19], [54, 29, 86, 61], [89, 77, 121, 109], [133, 138, 165, 170], [176, 48, 208, 80]]"
1526.tif,"[[30, 20, 62, 52], [62, 62, 94, 94], [97, 110, 129, 142], [140, 171, 172, 203], [184, 80, 216, 112]]"
1527.tif,"[[178, 59, 210, 91], [99, 171, 131, 203], [-11, 109, 21, 141], [16, 145, 48, 177], [41, 23, 73, 55], [103, 66, 135, 98], [160, 25, 192, 57]]"
1528.tif,"[[9, 59, 41, 91], [44, 107, 76, 139], [88, 168, 120, 200], [131, 78, 163, 110], [192, 1, 224, 33], [201, 80, 233, 112], [164, 154, 196, 186]]"
1529.tif,"[[26, 178, 58, 210], [70, 88, 102, 120], [131, 11, 163, 43], [140, 90, 172, 122], [165, 139, 197, 171], [103, 164, 135, 196]]"
1530.tif,"[[29, 148, 61, 180], [9, 95, 41, 127], [158, 198, 190, 230], [198, 189, 230, 221], [137, 115, 169, 147], [174, 109, 206, 141], [203, 67, 235, 99]]"
